creditcardID,cardNumber,cvc,expirationDate
1,36462436960504,257,2029-03-02
2,180099811480163,2143,2029-03-02
3,3587443097490640,8,2029-03-02
4,3535812985864863,89,2029-03-02
5,6500092747868171,990,2029-03-02
6,4279733820578419716,170,2029-03-02
7,36543917973650,703,2029-03-02
8,3504598672451018,210,2029-03-02
9,4319929178594346233,626,2029-03-02
10,36751901904769,433,2029-03-02
11,5417216478531153,245,2029-03-02
12,4483025268727,809,2029-03-02
13,378124970002053,616,2029-03-02
14,30280026843765,462,2029-03-02
15,5288631050825987,38,2029-03-02
16,4059161659875522,935,2029-03-02
17,6011302079846113,137,2029-03-02
18,6591902935795681,996,2029-03-02
19,4797248293273946,165,2029-03-02
20,6542616824976372,313,2029-03-02
21,2263511424164063,791,2029-03-02
22,6011412649785780,970,2029-03-02
23,3549564251810575,905,2029-03-02
24,4046736852632170373,363,2029-03-02
25,3592923136992543,425,2029-03-02
26,2299374876444147,310,2029-03-02
27,3533316100478833,395,2029-03-02
28,5362771722873590,363,2029-03-02
29,30456432083739,697,2029-03-02
30,340896826483646,816,2029-03-02
31,4981548411289526,243,2029-03-02
32,4157379005576534,231,2029-03-02
33,342715019283035,632,2029-03-02
34,348363074012793,767,2029-03-02
35,30037807431487,752,2029-03-02
36,2239749625279121,261,2029-03-02
37,370307018234840,681,2029-03-02
38,30403988457248,3089,2029-03-02
39,4988330181586894280,884,2029-03-02
40,3534045780646364,1714,2029-03-02
41,4991451781096,162,2029-03-02
42,676329708942,749,2029-03-02
43,4425331975331636,587,2029-03-02
44,4998469328800530,172,2029-03-02
45,30165656741977,6749,2029-03-02
46,3582087933126200,276,2029-03-02
47,4253051254838,423,2029-03-02
48,38384738867120,9950,2029-03-02
49,3597078203469902,192,2029-03-02
50,38963407936892,7719,2029-03-02
51,4730470205938263,778,2029-03-02
52,6011915261799079,966,2029-03-02
53,6528490856021244,259,2029-03-02
54,36306488509141,599,2029-03-02
55,3558091328269864,550,2029-03-02
56,4567580489303635293,287,2029-03-02
57,4153284727156,7283,2029-03-02
58,4583168640788,641,2029-03-02
59,30076905797746,697,2029-03-02
60,180060983519188,513,2029-03-02
61,503828717564,123,2029-03-02
62,630480615743,607,2029-03-02
63,213191218252930,873,2029-03-02
64,3560388542457606,113,2029-03-02
65,30542347327723,341,2029-03-02
66,213150863788820,163,2029-03-02
67,562235189114,200,2029-03-02
68,4746926058523116,381,2029-03-02
69,6561303854668940,92,2029-03-02
70,3511929993655840,5922,2029-03-02
71,6505356401092567,37,2029-03-02
72,345487435830958,952,2029-03-02
73,4936008243769,247,2029-03-02
74,4875864378195215674,87,2029-03-02
75,30387302500322,792,2029-03-02
76,6566850067036807,123,2029-03-02
77,6011972046899427,223,2029-03-02
78,2571477839770810,277,2029-03-02
79,180006794381821,2,2029-03-02
80,30303422370447,773,2029-03-02
81,4911759006661061,795,2029-03-02
82,4981717143873416,560,2029-03-02
83,676272602605,2124,2029-03-02
84,4930012554188,603,2029-03-02
85,340979344281120,963,2029-03-02
86,4726736497666,334,2029-03-02
87,2276793123939244,719,2029-03-02
88,30105965741029,535,2029-03-02
89,4187502197497425,189,2029-03-02
90,5172293725104063,9552,2029-03-02
91,4884837349792638,915,2029-03-02
92,3502670122323550,379,2029-03-02
93,5230421144701538,23,2029-03-02
94,5202741381415359,937,2029-03-02
95,3509289493582604,321,2029-03-02
96,6011052314852679,74,2029-03-02
97,6011946074426899,724,2029-03-02
98,3564833143736482,343,2029-03-02
99,4000823645449400012,831,2029-03-02
100,676233055398,225,2029-03-02
101,4075852660008,346,2029-03-02
102,372057236619292,89,2029-03-02
103,4331245360650009,142,2029-03-02
104,4411021713309962,964,2029-03-02
105,180058646475475,6529,2029-03-02
106,30283605026364,980,2029-03-02
107,4056084617975973,324,2029-03-02
108,6578798461479030,528,2029-03-02
109,4765999941185068,706,2029-03-02
110,4568842034872896,44,2029-03-02
111,347856527261629,871,2029-03-02
112,341928151451978,95,2029-03-02
113,560858149175,12,2029-03-02
114,4108483385537,358,2029-03-02
115,582847069744,729,2029-03-02
116,213143339409485,31,2029-03-02
117,30058840756516,620,2029-03-02
118,4091519026801907332,377,2029-03-02
119,3567639309333759,688,2029-03-02
120,6578923485273405,1662,2029-03-02
121,5463910843828418,813,2029-03-02
122,6011246716334035,982,2029-03-02
123,676202735855,434,2029-03-02
124,213147865003315,816,2029-03-02
125,5488506647592506,272,2029-03-02
126,2259910255240693,309,2029-03-02
127,4137107186135365380,599,2029-03-02
128,630425478579,710,2029-03-02
129,180046581912990,13,2029-03-02
130,4672468366741713814,960,2029-03-02
131,30544049300966,311,2029-03-02
132,2710678938796281,742,2029-03-02
133,2286282436054220,357,2029-03-02
134,4527564109909243,910,2029-03-02
135,3583255047076525,434,2029-03-02
136,4730005712391620,461,2029-03-02
137,4222661625117,686,2029-03-02
138,6525869761718411,991,2029-03-02
139,372131864839579,305,2029-03-02
140,30009924391035,33,2029-03-02
141,5134194421653196,783,2029-03-02
142,4448212372418,6,2029-03-02
143,3563682275721338,404,2029-03-02
144,180059588855542,815,2029-03-02
145,3589079091219201,92,2029-03-02
146,213139701046780,293,2029-03-02
147,38846064468699,778,2029-03-02
148,30456056334616,734,2029-03-02
149,3579077262669396,926,2029-03-02
150,180021661023760,469,2029-03-02
151,2234551864531633,155,2029-03-02
152,180002796557435,212,2029-03-02
153,4662931410001256,718,2029-03-02
154,3512113713667265,686,2029-03-02
155,5172931048380213,97,2029-03-02
156,30230545284009,383,2029-03-02
157,4894973088453856,804,2029-03-02
158,6531831448163157,589,2029-03-02
159,4550217813351,557,2029-03-02
160,378360391534833,204,2029-03-02
161,3562750428851681,643,2029-03-02
162,36726616008783,763,2029-03-02
163,36880428389871,699,2029-03-02
164,3512897919611891,603,2029-03-02
165,4405823395771452,763,2029-03-02
166,30357816872210,532,2029-03-02
167,180018940569332,8802,2029-03-02
168,30456976294072,629,2029-03-02
169,3596406481532516,881,2029-03-02
170,213138368302585,885,2029-03-02
171,4003938797378221,333,2029-03-02
172,4078053669108118,975,2029-03-02
173,30365204861604,404,2029-03-02
174,4589764551521885,428,2029-03-02
175,3546007575820451,742,2029-03-02
176,30023380634564,464,2029-03-02
177,4937032059773088,267,2029-03-02
178,180077014095046,122,2029-03-02
179,4796559962955,193,2029-03-02
180,4401347676866421,816,2029-03-02
181,4935310379105849,287,2029-03-02
182,180033987818773,885,2029-03-02
183,30435865766663,36,2029-03-02
184,6535607252865350,843,2029-03-02
185,676257960911,434,2029-03-02
186,4735038600831493,118,2029-03-02
187,2240424555223237,155,2029-03-02
188,4755835946494919,365,2029-03-02
189,4191501239787,965,2029-03-02
190,4046939525227580,745,2029-03-02
191,6011674347917219,835,2029-03-02
192,6011075351464975,418,2029-03-02
193,30062807156579,823,2029-03-02
194,3587684976011615,267,2029-03-02
195,676135395892,234,2029-03-02
196,3563949895823533,274,2029-03-02
197,370644658085649,292,2029-03-02
198,3517990208734584,72,2029-03-02
199,30056020939241,766,2029-03-02
200,4286261645817,774,2029-03-02
201,4682145941754509,949,2029-03-02
202,2281200537211031,1913,2029-03-02
203,4445491660499241,319,2029-03-02
204,2273390648230416,101,2029-03-02
205,6595488555661458,41,2029-03-02
206,5198925468581573,396,2029-03-02
207,577805553242,304,2029-03-02
208,373003047100329,653,2029-03-02
209,6569199066676248,661,2029-03-02
210,6510455101173264,517,2029-03-02
211,4350379331603411072,362,2029-03-02
212,589011332949,2742,2029-03-02
213,30223673000610,657,2029-03-02
214,3573091008511826,735,2029-03-02
215,2582349046152610,994,2029-03-02
216,213170512369426,395,2029-03-02
217,4137406766835212418,2822,2029-03-02
218,4818078157424155667,360,2029-03-02
219,3583941635070653,287,2029-03-02
220,4326958609955096313,886,2029-03-02
221,3513295286564158,329,2029-03-02
222,3531925479346413,290,2029-03-02
223,30422142997352,596,2029-03-02
224,341570569862162,426,2029-03-02
225,6582343810977626,747,2029-03-02
226,676371289080,747,2029-03-02
227,213146844816276,833,2029-03-02
228,3517541940818159,456,2029-03-02
229,503841948576,361,2029-03-02
230,6524080501265496,805,2029-03-02
231,2596776526054904,806,2029-03-02
232,3549355026176404,286,2029-03-02
233,6011362108466747,800,2029-03-02
234,348884967897651,9,2029-03-02
235,4059967394171369,61,2029-03-02
236,3539073359092245,89,2029-03-02
237,3537204569291077,359,2029-03-02
238,4632556651269,141,2029-03-02
239,213172743617227,534,2029-03-02
240,180054525303771,810,2029-03-02
241,30052098714244,385,2029-03-02
242,2223869222237658,86,2029-03-02
243,4040778369969,829,2029-03-02
244,4493490782516,515,2029-03-02
245,4534863352606923,120,2029-03-02
246,2706860564269843,6732,2029-03-02
247,180067315441346,634,2029-03-02
248,4120974271510219,518,2029-03-02
249,4715092035268858,883,2029-03-02
250,675945485091,4420,2029-03-02
251,379539588547869,902,2029-03-02
252,3565225662815350,865,2029-03-02
253,4748108085572,402,2029-03-02
254,4042439017263213,135,2029-03-02
255,6011628538918451,868,2029-03-02
256,5490916278995991,298,2029-03-02
257,30363900794716,24,2029-03-02
258,3569478025063798,911,2029-03-02
259,4735937624754,49,2029-03-02
260,30453249418778,919,2029-03-02
261,3590539740078321,451,2029-03-02
262,343475374037729,610,2029-03-02
263,3591517019357336,587,2029-03-02
264,4682189371562073,738,2029-03-02
265,3564655815497527,552,2029-03-02
266,502040257235,573,2029-03-02
267,4387085426476262581,933,2029-03-02
268,30348811320412,28,2029-03-02
